Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
end_effector_base_Link,0.059705,0.10557,0.16503,0,0,0,0.65151,0.00070551,-1.1407E-06,-1.59E-05,0.0016582,5.8675E-06,0.0011997,0,0,0,0,0,0,package://endeffector/meshes/end_effector_base_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://endeffector/meshes/end_effector_base_Link.STL,,L515摄像头连接座-1;滑杆-1;滑块-1;气动板主体-1;机械臂连接端-1;板杆定位座总成-1-1/板杆定位座-1-1;板杆定位座-2-1;衬套轴承-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera_Link,4.6756E-05,-0.00051236,0.012832,0,0,0,0.071592,1.9381E-05,-4.8E-08,4.5478E-09,2.0232E-05,-5.0299E-10,3.1685E-05,0,0,0,0,0,0,package://endeffector/meshes/camera_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://endeffector/meshes/camera_Link.STL,,L515摄像头-1,Origin_camera_Joint,,camera_Joint,fixed,0.23581,-0.13981,0.10673,-1.4894,1.569,-0.0064713,end_effector_base_Link,0,0,0,,,,,,,,,,,,
rotate_Link,-3.0605E-11,-4.037E-12,0.11365,0,0,0,0.047987,0.00022999,-4.2745E-16,1.5549E-14,0.00022999,-1.7124E-13,1.8252E-06,0,0,0,0,0,0,package://endeffector/meshes/rotate_Link.STL,1,1,1,1,0,0,0,0,0,0,package://endeffector/meshes/rotate_Link.STL,,板杆定位座总成-1-1/长接杆-1,Origin_rotate_Joint,,rotate_Joint,continuous,0.071989,-0.30978,0.10306,-1.5877,0.0017984,-3.1247,end_effector_base_Link,0,0,0,,,,,,,,,,,,
