Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
battery_pack_base_link,-0.95,0,-0.0999999999999996,0,0,0,552,68.0799999999999,-7.84187529726902E-15,-1.07543603652023E-15,245.18,1.32995466491554E-16,309.58,0,0,0,0,0,0,package://battery_pack_s/meshes/battery_pack_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/battery_pack_base_link.STL,battery,平台-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
M6_gasket_1_link,-5.55111512312578E-17,1.11022302462516E-16,-0.00800000000000001,0,0,0,8.82772243861937E-05,1.24959661693432E-09,-2.58493941422821E-26,4.83088124368438E-41,1.24959661693432E-09,-1.13453683705874E-40,2.48456062424061E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M6_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M6_gasket_1_link.STL,bolt,M6垫圈-3,Origin_M6_gasket_1_joint,Axis_M6_gasket_1_joint,M6_gasket_1_joint,fixed,-0.5215,-0.404,0.0525,3.1416,0,-2.7485,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_gasket_2_link,0,0,-0.00800000000000001,0,0,0,8.82772243861937E-05,1.24959661693432E-09,-1.29246970711411E-25,1.50034156156908E-42,1.24959661693432E-09,6.8771134273246E-43,2.48456062424061E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M6_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M6_gasket_2_link.STL,bolt,M6垫圈-6,Origin_M6_gasket_2_joint,Axis_M6_gasket_2_joint,M6_gasket_2_joint,fixed,-0.5215,-0.304,0.0525,3.1416,0,-2.7485,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_gasket_1_link,0,0,-0.00800000000000001,0,0,0,0.00010550204865667,2.08686937076162E-09,5.16987882845642E-26,1.7437435717737E-42,2.08686937076162E-09,2.84281637081175E-43,4.15625098855316E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M8_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M8_gasket_1_link.STL,bolt,M8垫圈-3,Origin_M8_gasket_1_joint,Axis_M8_gasket_1_joint,M8_gasket_1_joint,fixed,-0.521499999999999,-0.104,0.0525,3.14159265358979,0,-2.74849784316327,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_gasket_2_link,0,0,-0.00800000000000001,0,0,0,0.00010550204865667,2.08686937076162E-09,5.16987882845642E-26,1.7437435717737E-42,2.08686937076162E-09,2.84281637081175E-43,4.15625098855316E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M8_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M8_gasket_2_link.STL,bolt,M8垫圈-4,Origin_M8_gasket_2_joint,Axis_M8_gasket_2_joint,M8_gasket_2_joint,fixed,-0.5215,-0.004,0.0525,3.1416,0,-2.7485,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_gasket_1_link,2.77555756156289E-17,0,-0.00799999999999979,0,0,0,0.000122726872927147,3.24064827055894E-09,2.06795153138257E-25,1.94303917704591E-42,3.24064827055894E-09,8.05734168711336E-43,6.46095364480573E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M10_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M10_gasket_1_link.STL,bolt,M10垫圈-3,Origin_M10_gasket_1_joint,Axis_M10_gasket_1_joint,M10_gasket_1_joint,fixed,-0.521499999999999,0.196,0.0525,3.14159265358979,0,-2.74849784316327,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_gasket_2_link,0,0,-0.00799999999999979,0,0,0,0.000122726872927147,3.24064827055894E-09,3.10192729707385E-25,3.07565550259243E-42,3.24064827055894E-09,1.27540440712647E-42,6.46095364480573E-09,0,0,0,0,0,0,package://battery_pack_s/meshes/M10_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/M10_gasket_2_link.STL,bolt,M10垫圈-4,Origin_M10_gasket_2_joint,Axis_M10_gasket_2_joint,M10_gasket_2_joint,fixed,-0.521499999999999,0.296,0.0525,3.14159265358979,0,-2.74849784316327,battery_pack_base_link,0,0,0,,,,,,,,,,,,
battery_link,-0.816333474361604,0.499997947046124,2.47851218948547E-05,0,0,0,125.346813004086,10.5087366834248,0.000205562435854341,-0.00247963879973789,25.7236140097765,4.50046249140293E-06,36.0987872973689,0,0,0,0,0,0,package://battery_pack_s/meshes/battery_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/battery_link.STL,platform,电池包-1,坐标系12,,battery_joint,fixed,-0.504,-0.504,0.04,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
sleeve_plate_link,0.00113097715919352,-3.3682133098914E-05,-0.0349023059379383,0,0,0,0.511536238561189,0.000603156714858973,-5.3851411491421E-06,-2.31790936572696E-06,0.000600786005457109,2.44570964889537E-07,0.000838401878607603,0,0,0,0,0,0,package://battery_pack_s/meshes/sleeve_plate_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack_s/meshes/sleeve_plate_link.STL,battery,套筒盘-1,坐标系2,Axis_sleeve_plate_joint3,sleeve_plate_joint,fixed,0,0.45,0.065,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
