Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pneumatic_base_link,2.3901E-06,-0.031661,-0.082455,0,0,0,0.63254,0.0016249,-2.4777E-08,-8.1418E-08,0.00061245,4.3555E-05,0.0012505,0,0,0,0,0,0,package://socket_jacket_/meshes/pneumatic_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://socket_jacket_/meshes/pneumatic_base_link.STL,,气动板执行器总成组合-1/滑杆-1;气动板执行器总成组合-1/气动板主体-1;气动板执行器总成组合-1/板杆定位座总成-1;连接底座-1;配合件-1,全局坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sleeve_Link,-6.2102E-10,2.2153E-09,-0.27064,0,0,0,0.059247,0.00026061,-2.3096E-13,-1.6484E-12,0.00026061,1.0567E-11,2.6182E-06,0,0,0,0,0,0,package://socket_jacket_/meshes/sleeve_Link.STL,1,1,1,1,0,0,0,0,0,0,package://socket_jacket_/meshes/sleeve_Link.STL,,气动板执行器总成组合-1/长接杆-1;气动板执行器总成组合-1/M10套筒-1,全局坐标系,基准轴5,sleeve_joint,continuous,0,0,0,0,0,0,pneumatic_base_link,0,0,-1,,,,,,,,,,,,
camera_Link,-0.0040157,2.614E-05,-0.075782,0,0,0,0.12805,0.00010423,-4.9755E-10,6.6151E-07,9.2528E-05,-4.8206E-08,3.1847E-05,0,0,0,0,0,0,package://socket_jacket_/meshes/camera_Link.STL,1,1,1,1,0,0,0,0,0,0,package://socket_jacket_/meshes/camera_Link.STL,,气动板执行器总成组合-1/滑块-1;气动板执行器总成组合-1/L515摄像头连接座-1;气动板执行器总成组合-1/L515摄像头-1,相机移动坐标系,基准轴4,camera_joint,prismatic,0,0.055,-0.07478,1.5708,-1.5708,0,pneumatic_base_link,1,0,0,0,0,0,0,,,,,,,,
